structural_feature,transcriptomic_feature,base_r2,interaction_r2,r2_improvement,f_statistic,p_value,p_adjusted,significant_fdr
spatial_distribution_x,WAS (7454),0.9823327507733915,0.9830007926900652,0.0006680419166736895,908.5793726668506,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,ERRFI1 (54206),0.9823327507733915,0.9844544520089308,0.0021217012355392306,3155.484296458781,1.1102230246251565e-16,1.1937881985216736e-16,True
spatial_distribution_x,PARVA (55742),0.9823327507733915,0.9832615574783926,0.0009288067050010618,1282.9157188253153,1.1102230246251565e-16,1.1937881985216736e-16,True
spatial_distribution_x,CNN3 (1266),0.9823327507733915,0.9829927132253078,0.0006599624519162406,897.1643796238643,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,FAM114A1 (92689),0.9823327507733915,0.9838411601583708,0.0015084093849792035,2158.225796066868,1.1102230246251565e-16,1.1937881985216736e-16,True
spatial_distribution_x,FAM114A1 (92689),0.9823327507733915,0.9826294169138438,0.0002966661404522064,394.8584300961336,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,WFS1 (7466),0.9823327507733915,0.983653876214164,0.0013211254407724526,1868.6032597602439,1.1102230246251565e-16,1.1937881985216736e-16,True
spatial_distribution_x,GNA11 (2767),0.9823327507733915,0.9830814129538221,0.0007486621804305704,1023.0800931726922,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,TEAD1 (7003),0.9823327507733915,0.9839843147365692,0.0016515639631776713,2384.1726532834973,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,CUEDC1 (404093),0.9823327507733915,0.9840512402741377,0.0017184895007461565,2491.195424608675,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,BCAR1 (9564),0.9823327507733915,0.9838967743797921,0.0015640236064005109,2245.5268672756674,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,RAPH1 (65059),0.9823327507733915,0.9843919798553386,0.0020592290819470005,3050.3148979403213,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,CD151 (977),0.9823327507733915,0.9839140356467129,0.0015812848733213203,2272.7456973208136,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,CUEDC1 (404093),0.9823327507733915,0.984151585292224,0.0018188345188324684,2653.353969515562,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,BCAR1 (9564),0.9823327507733915,0.9840153708507406,0.0016826200773490951,2433.724037327025,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,RAPH1 (65059),0.9823327507733915,0.9841860777546207,0.0018533269812291975,2709.569399744522,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,TJP1 (7082),0.9823327507733915,0.9843575473606102,0.002024796587218658,2992.7082520686454,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,PTPN7 (5778),0.9823327507733915,0.9827209890693726,0.0003882382959810027,519.4781946210327,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,ARHGAP29 (9411),0.9823327507733915,0.9832980501309218,0.0009652993575302027,1336.2344708874944,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,WFS1 (7466),0.9823327507733915,0.9853169115429425,0.002984160769550992,4698.861359706348,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,ERRFI1 (54206),0.9823327507733915,0.9844249393338376,0.0020921885604460178,3105.6957371987237,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,SNX21 (90203),0.9823327507733915,0.9850698157849672,0.002737065011575668,4238.456951114687,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,PHLDB1 (23187),0.9823327507733915,0.9843499458020406,0.0020171950286490548,2980.024763648748,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,NCKAP1 (10787),0.9823327507733915,0.9835189696806934,0.0011862189073018614,1664.0574409168132,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,WAS (7454),0.9823327507733915,0.9829067607564292,0.0005740099830376932,776.3953115452977,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,IKZF1 (10320),0.9823327507733915,0.9844453712068387,0.0021126204334471765,3140.1446521676485,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,PARVA (55742),0.9823327507733915,0.9840582190427242,0.0017254682693326195,2502.4071334239025,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,CNN3 (1266),0.9823327507733915,0.9839684681637482,0.001635717390356617,2358.962727412509,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,CD151 (977),0.9823327507733915,0.983670412630122,0.0013376618567304543,1893.9083656611804,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,FAM114A1 (92689),0.9823327507733915,0.9837735485076605,0.0014407977342689726,2052.8976179434662,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,PTTG1IP (754),0.9823327507733915,0.9839162493342337,0.001583498560842167,2276.240628660957,1.1102230246251565e-16,1.1937881985216736e-16,True
abs_total_charge,GNA11 (2767),0.9823327507733915,0.984699614900123,0.0023668641267314827,3576.5046600344667,1.1102230246251565e-16,1.1937881985216736e-16,True
num_negative_ionizable,TEAD1 (7003),0.9823327507733915,0.983722313386348,0.0013895626129564187,1973.6642174083252,1.1102230246251565e-16,1.1937881985216736e-16,True
num_negative_ionizable,CUEDC1 (404093),0.9823327507733915,0.9842520061377982,0.0019192553644066246,2817.7039192009975,1.1102230246251565e-16,1.1937881985216736e-16,True
num_negative_ionizable,BCAR1 (9564),0.9823327507733915,0.9834255657492991,0.001092814975907519,1524.388818394386,1.1102230246251565e-16,1.1937881985216736e-16,True
num_negative_ionizable,RAPH1 (65059),0.9823327507733915,0.9836755407715634,0.0013427899981718339,1901.76619778333,1.1102230246251565e-16,1.1937881985216736e-16,True
logp,GNA11 (2767),0.9823327507733915,0.9849725695018977,0.0026398187285061603,4061.4134938617885,1.1102230246251565e-16,1.1937881985216736e-16,True
num_negative_ionizable,PTPN7 (5778),0.9823327507733915,0.9836370097769295,0.001304259003537922,1842.8458216200436,1.1102230246251565e-16,1.1937881985216736e-16,True
num_negative_ionizable,ARHGAP29 (9411),0.9823327507733915,0.9846801673488562,0.002347416575464667,3542.6151486511967,1.1102230246251565e-16,1.1937881985216736e-16,True
num_negative_ionizable,WFS1 (7466),0.9823327507733915,0.9843133996019371,0.0019806488285455393,2919.217660547123,1.1102230246251565e-16,1.1937881985216736e-16,True
num_negative_ionizable,ERRFI1 (54206),0.9823327507733915,0.9845619705665504,0.002229219793158821,3338.480590415338,1.1102230246251565e-16,1.1937881985216736e-16,True
num_negative_ionizable,SNX21 (90203),0.9823327507733915,0.9837112194144374,0.001378468641045849,1956.573410364787,1.1102230246251565e-16,1.1937881985216736e-16,True
