structural_feature,transcriptomic_feature,base_r2,interaction_r2,r2_improvement,f_statistic,p_value,p_adjusted,significant_fdr
hydrophobic_mean_distance,STX2 (2054),0.9620453941232907,0.9626489140084721,0.0006035198851813695,89.20847139069038,1.1102230246251565e-16,1.1445598192011924e-16,True
hydrophobic_mean_distance,PHC2 (1912),0.9620453941232907,0.9645094138221852,0.0024640196988945373,383.3087650183762,1.1102230246251565e-16,1.1445598192011924e-16,True
hydrophobic_mean_distance,CD99L2 (83692),0.9620453941232907,0.9644432273835417,0.0023978332602510033,372.31830831907735,1.1102230246251565e-16,1.1445598192011924e-16,True
hydrophobic_mean_distance,TFE3 (7030),0.9620453941232907,0.9632403552017216,0.0011949610784308673,179.47344568263006,1.1102230246251565e-16,1.1445598192011924e-16,True
gatekeeper_LEU790_min_dist,POMGNT1 (55624),0.9620453941232907,0.96549343391654,0.003448039793249258,551.6813134197647,1.1102230246251565e-16,1.1445598192011924e-16,True
gatekeeper_LEU790_min_dist,CEP170 (9859),0.9620453941232907,0.9665806964933734,0.0045353023700827055,749.2497376632009,1.1102230246251565e-16,1.1445598192011924e-16,True
hydrophobic_mean_distance,BACE1 (23621),0.9620453941232907,0.9650216324696852,0.0029762383463944886,469.7706917340584,1.1102230246251565e-16,1.1445598192011924e-16,True
hydrophobic_mean_distance,HABP4 (22927),0.9620453941232907,0.9636234214668411,0.0015780273435503922,239.50270517607197,1.1102230246251565e-16,1.1445598192011924e-16,True
gatekeeper_LEU790_min_dist,MACF1 (23499),0.9620453941232907,0.9654711150405223,0.0034257209172315894,547.7560369016214,1.1102230246251565e-16,1.1445598192011924e-16,True
hydrophobic_mean_distance,MACF1 (23499),0.9620453941232907,0.963281663073965,0.0012362689506743019,185.8864384414193,1.1102230246251565e-16,1.1445598192011924e-16,True
hydrophobic_mean_distance,CEP170 (9859),0.9620453941232907,0.9634784533616637,0.0014330592383730023,216.6370480803213,1.1102230246251565e-16,1.1445598192011924e-16,True
hydrophobic_mean_distance,C5orf24 (134553),0.9620453941232907,0.9664668712722321,0.004421477148941366,727.965932957853,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,AGPAT1 (10554),0.9620453941232907,0.9638927479591035,0.0018473538358128039,282.4706935872666,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,TNS2 (23371),0.9620453941232907,0.9637238794920333,0.0016784853687425993,255.45503739278854,1.1102230246251565e-16,1.1445598192011924e-16,True
dfg_GLY833_min_dist,BACE1 (23621),0.9620453941232907,0.9646727131151811,0.0026273189918903928,410.60125000599453,1.1102230246251565e-16,1.1445598192011924e-16,True
