GDSC_CELL_LINE,DepMap_ModelID,DepMap_CellLineName,DepMap_StrippedName,COSMIC_ID,Match_Method,Confidence,Fuzzy_Score
BC-3,ACH-002215,BC-3,BC3,910918,COSMIC_ID,HIGH,
A4-Fuk,ACH-000157,A4/Fuk,A4FUK,910934,COSMIC_ID,HIGH,
DOK,ACH-002234,DOK,DOK,910936,COSMIC_ID,HIGH,
COR-L279,ACH-000257,COR-L279,CORL279,910937,COSMIC_ID,HIGH,
CHP-134,ACH-001338,CHP-134,CHP134,910941,COSMIC_ID,HIGH,
NEC8,ACH-002288,NEC8,NEC8,910942,COSMIC_ID,HIGH,
CAS-1,ACH-000464,CAS-1,CAS1,910943,COSMIC_ID,HIGH,
ALL-PO,ACH-002209,ALL-PO,ALLPO,910944,COSMIC_ID,HIGH,
OCI-AML2,ACH-000113,OCI-AML2,OCIAML2,910947,COSMIC_ID,HIGH,
CML-T1,ACH-000920,CML-T1,CMLT1,910951,COSMIC_ID,HIGH,
CAL-54,ACH-000457,CAL-54,CAL54,910952,COSMIC_ID,HIGH,
EFO-21,ACH-000308,EFO-21,EFO21,911905,COSMIC_ID,HIGH,
LS-1034,ACH-000252,LS1034,LS1034,917486,COSMIC_ID,HIGH,
22RV1,ACH-000956,22Rv1,22RV1,924100,COSMIC_ID,HIGH,
A3-KAW,ACH-000697,A3/KAW,A3KAW,910935,COSMIC_ID,HIGH,
B-CPAP,ACH-000456,B-CPAP,BCPAP,924104,COSMIC_ID,HIGH,
CAL-27,ACH-000832,CAL 27,CAL27,910916,COSMIC_ID,HIGH,
SCC-15,ACH-000254,SCC-15,SCC15,910911,COSMIC_ID,HIGH,
C2BBe1,ACH-000009,C2BBe1,C2BBE1,910700,COSMIC_ID,HIGH,
SCC-25,ACH-000188,SCC-25,SCC25,910701,COSMIC_ID,HIGH,
AsPC-1,ACH-000222,AsPC-1,ASPC1,910702,COSMIC_ID,HIGH,
CA46,ACH-000440,CA46,CA46,910703,COSMIC_ID,HIGH,
AU565,ACH-000248,AU565,AU565,910704,COSMIC_ID,HIGH,
BALL-1,ACH-002211,BALL-1,BALL1,910705,COSMIC_ID,HIGH,
BL-41,ACH-000245,BL-41,BL41,910706,COSMIC_ID,HIGH,
BV-173,ACH-000432,BV-173,BV173,910710,COSMIC_ID,HIGH,
IA-LM,ACH-000672,IA-LM,IALM,910779,COSMIC_ID,HIGH,
TGW,ACH-001674,TGW,TGW,910780,COSMIC_ID,HIGH,
